H,S,V,class
68,4,242,branco
70,3,242,branco
140,3,243,branco
128,4,244,branco
113,4,244,branco
135,2,242,branco
90,1,241,branco
90,2,241,branco
120,1,241,branco
60,3,239,branco
140,6,244,branco
113,4,243,branco
83,4,242,branco
68,4,242,branco
135,2,242,branco
135,4,244,branco
120,4,244,branco
135,2,242,branco
0,0,241,branco
90,2,241,branco
90,1,241,branco
90,1,241,branco
60,14,240,branco
143,4,242,branco
128,4,243,branco
90,3,242,branco
68,4,242,branco
60,1,241,branco
140,3,243,branco
120,4,244,branco
120,3,243,branco
150,1,241,branco
90,1,241,branco
100,3,242,branco
120,1,241,branco
90,1,239,branco
138,5,244,branco
105,4,243,branco
78,5,242,branco
60,3,242,branco
135,2,242,branco
128,4,244,branco
120,4,244,branco
135,2,242,branco
0,0,241,branco
100,3,242,branco
110,3,242,branco
120,2,243,branco
57,10,240,branco
144,5,243,branco
120,3,243,branco
90,4,242,branco
68,4,242,branco
0,0,241,branco
140,3,243,branco
120,4,244,branco
130,3,243,branco
150,1,241,branco
90,1,241,branco
105,4,243,branco
120,2,242,branco
135,2,241,branco
132,5,244,branco
98,4,243,branco
72,5,242,branco
60,2,242,branco
150,2,242,branco
128,4,244,branco
120,4,244,branco
135,2,242,branco
0,0,241,branco
100,3,242,branco
120,3,243,branco
60,4,239,branco
144,5,243,branco
120,3,243,branco
83,4,242,branco
60,3,242,branco
150,1,241,branco
140,3,243,branco
120,4,244,branco
130,3,243,branco
0,0,241,branco
90,1,241,branco
100,3,242,branco
120,2,242,branco
150,2,240,branco
132,5,244,branco
102,5,244,branco
78,5,242,branco
45,2,241,branco
150,2,242,branco
128,4,244,branco
120,4,244,branco
135,2,242,branco
90,1,241,branco
100,3,242,branco
120,3,243,branco
45,2,239,branco
143,4,243,branco
108,5,244,branco
95,6,243,branco
80,3,242,branco
30,2,241,branco
150,1,241,branco
120,4,244,branco
128,4,244,branco
128,4,244,branco
100,3,242,branco
105,2,242,branco
120,2,241,branco
64,9,240,branco
158,4,242,branco
120,4,244,branco
100,6,244,branco
90,4,241,branco
30,1,241,branco
165,2,242,branco
110,3,243,branco
120,4,244,branco
128,4,244,branco
110,3,243,branco
90,2,241,branco
120,2,242,branco
0,1,240,branco
138,5,244,branco
102,5,244,branco
90,5,242,branco
60,2,242,branco
15,2,242,branco
135,2,242,branco
120,4,244,branco
128,4,244,branco
130,3,243,branco
100,3,242,branco
105,2,241,branco
105,2,240,branco
60,4,240,branco
143,4,243,branco
120,4,244,branco
96,5,243,branco
83,4,242,branco
30,1,241,branco
165,2,242,branco
110,3,243,branco
126,5,245,branco
128,4,244,branco
100,3,242,branco
90,2,241,branco
120,2,242,branco
143,4,242,branco
120,3,243,branco
96,5,243,branco
90,3,241,branco
90,1,241,branco
150,1,241,branco
130,3,243,branco
120,4,244,branco
128,4,244,branco
110,3,243,branco
90,2,241,branco
110,3,242,branco
150,2,240,branco
140,6,243,branco
90,3,241,branco
60,3,242,branco
60,1,242,branco
110,3,243,branco
130,3,243,branco
150,2,242,branco
130,3,243,branco
110,3,243,branco
90,2,241,branco
90,2,241,branco
90,2,241,branco
64,9,239,branco
145,6,243,branco
110,3,243,branco
78,5,243,branco
45,2,241,branco
105,2,242,branco
