H,S,V,class
38,37,255,branco
36,33,255,branco
36,27,255,branco
32,26,255,branco
35,25,254,branco
36,19,255,branco
42,18,255,branco
37,17,254,branco
37,17,255,branco
32,16,255,branco
32,16,255,branco
26,17,255,branco
25,18,255,branco
26,14,255,branco
26,15,253,branco
26,15,254,branco
32,14,255,branco
34,14,255,branco
38,15,255,branco
38,15,255,branco
53,16,255,branco
70,25,255,branco
34,50,255,branco
35,44,255,branco
35,36,255,branco
33,28,255,branco
32,25,255,branco
37,23,255,branco
36,19,255,branco
41,17,255,branco
37,17,255,branco
37,17,255,branco
34,14,255,branco
32,14,255,branco
26,15,255,branco
26,15,255,branco
30,12,255,branco
26,14,253,branco
26,14,254,branco
30,12,254,branco
34,14,255,branco
34,14,255,branco
38,15,255,branco
50,15,255,branco
74,19,255,branco
30,59,255,branco
31,52,255,branco
34,41,254,branco
35,34,253,branco
40,27,254,branco
39,21,255,branco
41,20,255,branco
38,20,255,branco
37,17,255,branco
36,14,255,branco
35,13,255,branco
35,13,255,branco
30,10,254,branco
30,10,254,branco
30,8,255,branco
30,8,255,branco
30,10,254,branco
35,11,255,branco
35,13,254,branco
35,13,254,branco
34,14,254,branco
45,12,254,branco
81,14,255,branco
30,65,255,branco
29,57,254,branco
32,45,254,branco
35,33,255,branco
42,25,255,branco
43,21,253,branco
41,20,255,branco
36,19,255,branco
37,17,255,branco
36,14,255,branco
35,13,255,branco
35,11,255,branco
34,8,254,branco
34,8,254,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
35,11,255,branco
35,11,255,branco
35,13,254,branco
34,14,254,branco
48,10,255,branco
90,9,255,branco
90,17,255,branco
29,64,252,branco
29,55,253,branco
31,42,255,branco
33,31,255,branco
40,23,255,branco
44,19,254,branco
41,17,255,branco
37,17,255,branco
38,15,255,branco
36,14,255,branco
35,13,255,branco
33,10,255,branco
34,8,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
35,11,255,branco
35,11,255,branco
35,13,254,branco
34,14,254,branco
45,12,255,branco
79,11,255,branco
86,17,255,branco
29,60,252,branco
29,54,252,branco
30,39,255,branco
33,31,255,branco
40,22,255,branco
43,18,255,branco
41,17,255,branco
38,15,255,branco
36,14,255,branco
37,13,255,branco
35,11,255,branco
34,8,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
34,8,254,branco
35,11,255,branco
35,13,254,branco
35,13,254,branco
45,12,255,branco
68,11,253,branco
81,19,255,branco
28,51,254,branco
30,38,253,branco
33,29,255,branco
40,23,255,branco
45,16,255,branco
42,15,255,branco
39,14,255,branco
37,13,255,branco
38,11,255,branco
35,11,255,branco
34,8,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
34,8,254,branco
35,11,255,branco
35,13,254,branco
35,13,254,branco
45,12,255,branco
60,12,254,branco
71,17,255,branco
76,24,255,branco
28,49,255,branco
28,38,253,branco
31,25,255,branco
38,20,255,branco
43,14,253,branco
39,14,255,branco
38,11,254,branco
38,11,255,branco
38,11,255,branco
34,8,254,branco
34,8,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,254,branco
34,8,254,branco
35,11,255,branco
35,11,254,branco
35,11,254,branco
39,14,255,branco
54,14,255,branco
62,16,255,branco
70,24,254,branco
27,45,255,branco
27,36,254,branco
30,22,255,branco
37,17,254,branco
43,14,254,branco
38,11,255,branco
40,9,255,branco
40,9,255,branco
40,9,255,branco
35,6,254,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
34,8,254,branco
34,8,254,branco
35,11,255,branco
35,11,254,branco
39,14,255,branco
49,17,255,branco
57,19,255,branco
63,21,251,branco
25,43,255,branco
27,33,255,branco
30,23,255,branco
37,17,253,branco
44,11,255,branco
40,9,255,branco
40,9,255,branco
40,9,255,branco
40,9,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
35,6,255,branco
34,8,255,branco
34,8,254,branco
34,8,254,branco
34,8,254,branco
34,8,254,branco
38,11,255,branco
48,15,255,branco
51,21,255,branco
58,18,255,branco
65,25,254,branco
28,31,255,branco
29,22,253,branco
37,17,255,branco
45,12,254,branco
38,8,255,branco
40,6,255,branco
40,6,255,branco
40,6,255,branco
